id,name,lat,lon,obs_q
01010400202,CURRENT RIVER STATION,48.48247952,-89.18801899,
01010500102,MC VICAR CREEK STATION,48.43965452,-89.21410974,
01010600202,MC INTYRE RIVER STATION,48.39965814,-89.24543749,
01010700202,NEEBING RIVER STATION,48.38122752,-89.35788387,
01010800102,KAMINISTIQUIA RIVER STATION,48.35863464,-89.28760749,
03001500202,POTTAWATOMI RIVER STATION,44.57429939,-80.96008648,
03001600302,SYDENHAM RIVER STATION,44.52217814,-80.93089011,02FB007
03001700202,TELFER CREEK STATION,44.62385189,-80.87577098,
03003000202,BIGHEAD RIVER STATION,44.56987776,-80.64850398,02FB010
03003600502,BOYNE RIVER STATION,44.27958714,-80.54585836,
03003600902,BEAVER RIVER STATION,44.34604251,-80.54015148,
03003601002,BEAVER RIVER STATION,44.52027901,-80.46674361,02FB009
03004700102,SILVER CREEK STATION,44.51964864,-80.27705848,
03004900102,BLACK ASH CREEK STATION,44.50618689,-80.23580373,
03005300102,PRETTY RIVER STATION,44.50308626,-80.19772461,
03005400102,BATTEAUX RIVER STATION,44.48831889,-80.16709086,
03005700702,BOYNE RIVER STATION,44.16306064,-79.82948636,
03005701002,PINE RIVER STATION,44.31854764,-79.88647448,
03005702102,MAD RIVER STATION,44.30520214,-80.00167986,
03005702502,NOTTAWASAGA RIVER STATION,44.47547451,-80.00712811,02ED027
03005702802,NOTTAWASAGA RIVER STATION,44.02452589,-79.96972211,02ED026
03005702902,NOTTAWASAGA RIVER STATION,44.24946051,-79.82159811,02ED003
03005703002,WILLOW CREEK STATION,44.42213889,-79.82357036,
03005703102,INNISFIL CREEK STATION,44.13108751,-79.79639598,02ED029
03005703202,BEETON CREEK STATION,44.12334439,-79.75892123,
03006600102,COPELAND CREEK STATION,44.76173314,-79.95878136,
03007000302,WYE RIVER STATION,44.73194951,-79.84641461,
03007000402,WYE RIVER STATION,44.64988101,-79.90361398,02ED013
03007000502,WYE RIVER STATION,44.57712664,-79.86026898,
03007300202,HOG CREEK STATION,44.72605614,-79.77889261,
03007300302,HOG CREEK STATION,44.68728901,-79.79179673,
03007500202,STURGEON RIVER STATION,44.73010676,-79.72941161,
03007600302,COLDWATER RIVER STATION,44.70729676,-79.64358186,02ED007
03007600402,COLDWATER RIVER STATION,44.64546101,-79.63457136,
03007600502,NORTH RIVER STATION,44.76757014,-79.57837298,02ED024
03007600602,SILVER CREEK STATION,44.66792451,-79.45662573,
03007700202,HOLLAND RIVER STATION,44.11323614,-79.54583973,
03007700702,AURORA CREEK STATION,44.02220026,-79.47285473,
03007701302,SEVERN RIVER STATION,44.80375139,-79.72022748,
03007702102,MOUNT ALBERT CREEK STATION,44.16663039,-79.32748086,
03007702802,LOVERS CREEK STATION,44.37225239,-79.65129523,
03007702902,HOLLAND RIVER STATION,44.01385739,-79.67910198,02EC010
03007703402,MASKINONGE RIVER STATION,44.22387364,-79.42133711,
03007703502,UXBIRDGE BROOK STATION,44.13775764,-79.11259961,
03007703602,HAWKESTONE CREEK STATION,44.49636189,-79.46684923,
03007703802,BLACK RIVER STATION,44.30473701,-79.36042573,
03007703902,HOLLAND RIVER STATION,44.09483164,-79.48995273,02EC009
03007704002,PEFFERLAW BROOK STATION,44.31673376,-79.20137861,
03007704102,BEAVERTON RIVER STATION,44.43029614,-79.15510248,
03013301302,DUCHESNAY RIVER STATION,46.32851627,-79.50328061,
03013301902,CHIPPEWA CREEK STATION,46.30044377,-79.46142336,02DD014
03013302402,LA VASE RIVER STATION,46.24331664,-79.42178548,
03013303002,WASI RIVER STATION,46.19659489,-79.36637386,
03013400102,WANAPITEI RIVER STATION,46.39508052,-80.80042673,02DB005
03013400302,EMERY CREEK STATION,46.52989664,-80.74367511,
04001000302,RUSCOM RIVER STATION,42.24355614,-82.61438286,02GH002
04001301602,THAMES RIVER STATION,43.12633764,-80.77928186,
04001301702,CEDAR CREEK STATION,43.12741876,-80.77084186,
04001302502,AVON RIVER STATION,43.36605826,-81.01866973,02GD018
04001302902,DINGMAN CREEK STATION,42.91414551,-81.31366036,02GE005
04001303302,BIG CREEK STATION,42.19263914,-82.51680573,
04001304102,MIDDLE THAMES RIVER STATION,43.03141939,-80.99848748,
04001304202,THAMES RIVER STATION,43.01864126,-80.92690923,
04001304402,NORTH THAMES RIVER STATION,43.45058551,-81.20725048,02GD014
04001304702,THAMES RIVER STATION,42.93474951,-81.42151298,02GE002
04001305002,NORTH THAMES RIVER STATION,43.09624414,-81.16853661,02GD015
04001305802,THAMES RIVER STATION,42.51391626,-82.07167161,02GE003
04001306302,KOMOKA CREEK STATION,42.93796101,-81.44090948,
04001306402,TROUT CREEK STATION,43.26643989,-81.08411186,02GD009
04001306602,TROUT CREEK STATION,43.25235764,-80.98515886,
04001307302,NEWBIGGIN CREEK STATION,42.71793864,-81.66988373,
04001308002,THAMES RIVER STATION,43.21543364,-80.69161523,02GD021
04001308102,MCGREGOR CREEK STATION,42.38328064,-82.09484398,
04001308202,THAMES RIVER STATION,42.35543939,-82.32007686,
04001308302,THAMES RIVER STATION,42.73153714,-81.57772073,
04002700402,BEAR CREEK STATION,42.86419764,-82.16923398,
04002700702,SYDENHAM RIVER STATION,42.93126914,-81.66791098,
04002700802,BEAR CREEK STATION,42.76407739,-82.34158173,
04002700902,BLACK CREEK STATION,42.78694901,-82.17194086,
04002701202,SYDENHAM RIVER STATION,42.83087764,-81.85140986,02GG002
04002701502,SYDENHAM RIVER STATION,42.97589126,-81.59343411,
04002701602,SYDENHAM RIVER STATION,42.65068239,-82.00877086,02GG003
04002701702,SYDENHAM RIVER STATION,42.59179026,-82.38763173,
06000300102,FOUR MILE CREEK STATION,43.25323889,-79.12593486,
06001700102,TWELVE MILE CREEK STATION,43.20139039,-79.26580248,
06001700702,TWELVE MILE CREEK STATION,43.11499764,-79.27483361,
06001701002,TWELVE MILE CREEK STATION,43.08750789,-79.29199661,
06001701102,TWELVE MILE CREEK STATION,43.08730964,-79.29167323,
06002400102,TWENTY MILE CREEK STATION,43.15201751,-79.37448548,02HA006
06003800102,FORTY MILE CREEK STATION,43.20004851,-79.55697698,
06006000402,MOUNTSBERG CREEK STATION,43.46886051,-80.07300286,
06006000702,BRONTE CREEK STATION,43.39559389,-79.72279548,
06006000802,INDIAN CREEK STATION,43.43465639,-79.84737548,
06006100102,FOURTEEN MILE CREEK STATION,43.42223451,-79.72771098,
06006300102,OAKVILLE CREEK STATION,43.44293476,-79.67125023,
06006301002,OAKVILLE CREEK STATION,43.50115226,-79.95219636,
06006301102,EAST OAKVILLE CREEK STATION,43.49908114,-79.77659048,
06006301202,WEST OAKVILLE CREEK STATION,43.47417514,-79.79842286,
06006800102,SHERIDAN CREEK STATION,43.51593351,-79.61543248,
06007600302,CREDIT RIVER STATION,43.64721276,-79.85627811,
06007600402,SILVER CREEK STATION,43.64635939,-79.86622286,02HB008
06007600502,BLACK CREEK STATION,43.62759439,-80.02209311,02HB024
06007600602,CREDIT RIVER STATION,43.90965439,-80.06325348,
06007600802,BLACK CREEK STATION,43.62923289,-80.01039811,
06007601002,CREDIT RIVER STATION,43.72381351,-79.93099773,
06007601502,WEST CREDIT RIVER STATION,43.78373676,-80.03480098,
06007601602,FLETCHER'S CREEK STATION,43.65858539,-79.74145536,
06007601702,CREDIT RIVER STATION,43.62214889,-79.73326498,
06007601802,CREDIT RIVER STATION,43.85620614,-80.04821261,
06007602202,SILVER CREEK STATION,43.63747426,-79.88616561,
06007602302,CREDIT RIVER STATION,43.88846164,-80.06330648,02HB013
06007605002,CREDIT RIVER STATION,43.54919451,-79.63327273,
06007605102,SHAW'S CREEK STATION,43.85975964,-80.05739011,
06007605202,EAST CREDIT RIVER STATION,43.80982126,-79.92764911,
06008000602,ETOBICOKE CREEK STATION,43.60505564,-79.55975311,02HC030
06008000702,Etobicoke Creek West STATION,43.67833164,-79.67950823,
06008200302,MIMICO CREEK STATION,43.62847489,-79.49287136,02HC033
06008300902,COLD CREEK STATION,43.88810001,-79.71795598,
06008301802,HUMBER RIVER STATION,43.92614414,-79.80320748,
06008301902,HUMBER RIVER STATION,43.65143464,-79.49132861,02HC003
06008310302,HUMBER RIVER WEST STATION,43.75823701,-79.67843886,
06008310402,CENTREVILLE CREEK STATION,43.92418126,-79.83452048,02HC051
06008501402,DON RIVER STATION,43.68847164,-79.36213573,
06009701102,ROUGE RIVER STATION,43.81085851,-79.15978098,
06009701802,BRUCE CREEK STATION,43.89673301,-79.32307036,
06010400102,DUFFINS CREEK STATION,43.83918989,-79.03983861,
06010400802,MITCHELL CREEK STATION,43.96144701,-79.12565398,
06010800102,LYNDE CREEK STATION,43.85667164,-78.96067786,02HC018
06010800202,LYNDE CREEK STATION,43.93360664,-78.96188898,
06011100302,OSHAWA CREEK WEST STATION,43.94620801,-78.90366111,
06011200302,FAREWELL CREEK STATION,43.88073326,-78.82148323,
06011200602,BLACK CREEK STATION,43.91156526,-78.78870536,
06011600102,BOWMANVILLE CREEK STATION,43.89429201,-78.67502098,02HD006
06011600502,BOWMANVILLE CREEK STATION,43.96982076,-78.74749473,
06011600602,BOWMANVILLE CREEK STATION,44.04234326,-78.73804536,
06011700202,ORONO CREEK STATION,43.95709651,-78.61934198,
06011700302,WILMOT CREEK STATION,43.91289539,-78.60870623,02HD009
06011800102,GRAHAM CREEK STATION,43.90606064,-78.58288086,
06012900102,GANARASKA RIVER STATION,43.94788839,-78.29237698,
06012900202,GANARASKA RIVER STATION,44.01504376,-78.43750386,02HD003
06012900502,GANARASKA RIVER STATION,43.99061964,-78.32816023,02HD012
06013000102,GAGE CREEK STATION,43.95566151,-78.26639348,
06013300402,COBOURG  BROOK STATION,43.95586776,-78.17994311,02HD019
06013300502,COBOURG CREEK WEST STATION,43.98844226,-78.21093061,
06014200102,SHELTER VALLEY BROOK STATION,43.97636464,-78.00609886,
06015700102,CONSECON CREEK STATION,43.99636176,-77.5180321,
06015700302,CONSECON CREEK STATION,44.03077901,-77.28512935,
06016300102,BLOOMFIELD CREEK STATION,43.97329951,-77.2464741,
06017200102,BLACK RIVER STATION,43.93569101,-77.09041548,
06018000202,MILLHAVEN CREEK STATION,44.40682139,-76.60128585,
06018000302,MILLHAVEN CREEK STATION,44.21406026,-76.78015448,
06018300202,COLLINS CREEK STATION,44.25642601,-76.61269673,02HM005
08002100202,THE CUT(AUSABLE RIVER) STATION,43.19331251,-81.81385686,
08002200702,HENSALL CREEK STATION,43.42773889,-81.52282998,
08002201002,LITTLE AUSABLE RIVER STATION,43.18090601,-81.44766011,
08002201202,PARKHILL CREEK STATION,43.18501314,-81.72901586,
08002201602,AUSABLE RIVER STATION,43.36211689,-81.50944723,
08002201902,DECKER CREEK STATION,43.18532864,-81.85668398,
08002202002,AUSABLE RIVER STATION,43.07236764,-81.66025798,
08004000202,BAYFIELD RIVER STATION,43.53778339,-81.40662223,
08004000802,BAYFIELD RIVER STATION,43.55071776,-81.58937173,
08005600102,MAITLAND RIVER STATION,43.75224276,-81.70049673,
08005600202,BLYTH BROOK STATION,43.74886951,-81.44591686,
08005600302,MAITLAND RIVER STATION,43.89549764,-81.35349723,
08005600902,MIDDLE MAITLAND RIVER STATION,43.73036839,-81.02807098,02FE003
08005602002,BOYLE DRAIN STATION,43.69298176,-81.09216111,
08005603502,LITTLE MAITLAND RIVER STATION,43.79870264,-81.16987211,
08005603702,SOUTH MAITLAND RIVER STATION,43.68462189,-81.54090248,
08005603802,NORTH MAITLAND RIVER STATION,43.88729901,-81.28256548,
08005603902,MIDDLE MAITLAND RIVER STATION,43.84005139,-81.32055223,
08005604102,BEAUCHAMPS DRAIN STATION,43.70443576,-81.24871023,
08007600102,LUCKNOW RIVER STATION,43.87649114,-81.70563998,
08007600202,LUCKNOW RIVER STATION,43.95572514,-81.51721198,
08010300102,PINE RIVER STATION,44.09370139,-81.72707486,
08010700502,PENETANGORE RIVER STATION,44.17040289,-81.63731548,
08012300202,SAUGEEN RIVER STATION,44.13468014,-81.15385598,02FC002
08012303002,SAUGEEN RIVER STATION,44.45609726,-81.32603473,02FC001
08012304402,TEESWATER RIVER STATION,44.15257389,-81.28636711,
08012304802,SOUTH SAUGEEN RIVER STATION,44.03542626,-80.58140573,
08012305002,BEATTY SAUGEEN RIVER STATION,44.13098289,-80.96736536,
08012305102,SOUTH SAUGEEN RIVER STATION,44.09852564,-80.98513248,
08012305202,SAUGEEN RIVER STATION,44.24720089,-80.46002998,
08012305302,ROCKY SAUGEEN RIVER STATION,44.21263151,-80.86270248,
08012305602,MILL CREEK STATION,44.41529576,-81.38327448,
08012305702,SAUGEEN RIVER STATION,44.18581114,-80.78749348,
08012305802,NORTH SAUGEEN RIVER STATION,44.33514014,-80.97633386,
08012305902,NORTH SAUGEEN RIVER STATION,44.31874089,-81.24326086,
08013500302,SAUBLE RIVER STATION,44.67718051,-81.25546136,02FA001
08013500502,SAUBLE RIVER STATION,44.53529476,-81.17765936,02FA004
08013500602,SPRING CREEK STATION,44.64473576,-81.18539536,
09000100402,REDHILL CREEK STATION,43.20034451,-79.82013348,
09000100502,REDHILL CREEK STATION,43.23246039,-79.78474873,
09000800502,SPENCER CREEK STATION,43.26519314,-79.96422961,02HB007
09000800602,SPENCER CREEK STATION,43.28300414,-80.05308886,02HB023
09000800702,SPENCER CREEK STATION,43.35303464,-80.07794948,
09000902402,GRINDSTONE CREEK STATION,43.30128051,-79.86886936,02HB012
10000100302,TURKEY CREEK STATION,42.24458189,-83.07082048,
10000200202,CANARD RIVER STATION,42.15905964,-83.01879548,02GH003
11000100502,WELLAND RIVER STATION,43.02862239,-79.21112836,
11000100702,WELLAND RIVER STATION,42.97203639,-79.31766686,
12000200402,LITTLE CATARAQUI CREEK STATION,44.25205989,-76.53475698,
12000400202,CATARAQUI RIVER STATION,44.29378189,-76.4410441,
12001700102,GANANOQUE RIVER STATION,44.32849739,-76.16688548,
12002700102,LARUE MILLS CREEK STATION,44.43318339,-75.8835371,
12003100102,LYN CREEK STATION,44.52510401,-75.80519548,02MB006
12003400102,BUTLERS CREEK STATION,44.58559714,-75.69108773,
12007300302,RAISIN RIVER STATION,45.14449477,-74.5776826,
12007300802,RAISIN RIVER STATION,45.10992464,-74.7730631,02MC001
12007301102,NORTH RAISIN RIVER STATION,45.15010677,-74.73578523,
12007301502,SOUTH RAISIN RIVER STATION,45.09994402,-74.67696085,
12008600102,DELISLE RIVER STATION,45.31764314,-74.60216635,
12008600202,DELISLE RIVER STATION,45.32856752,-74.61790498,
12008600402,GARRY RIVER STATION,45.30295964,-74.63752123,
13000300102,BIG CARP RIVER STATION,46.50622927,-84.44987174,
13000800102,EAST DAVIGNON CREEK STATION,46.52216677,-84.38080749,
13001100102,ROOT RIVER STATION,46.54620264,-84.21850599,
13001100202,ROOT RIVER STATION,46.57238489,-84.32113511,02CA002
14002800302,JUNCTION CREEK STATION,46.42733327,-81.09777461,02CF012
14002801202,ONAPING RIVER STATION,46.60479002,-81.38126998,02CF010
14002802802,WHITSON RIVER STATION,46.60999802,-81.03282385,
14002803002,WHITSON RIVER STATION,46.53756177,-81.26590261,
14002808902,LILY CREEK STATION,46.47268839,-80.99619573,
16001800202,CEDAR CREEK STATION,42.03204214,-82.83151386,
16002700102,STURGEON RIVER STATION,42.03252989,-82.56499711,
16003000302,LEBO DRAIN STATION,42.05544151,-82.50461511,
16003200102,MUDDY CREEK STATION,42.06681089,-82.46573323,
16003200202,MUDDY CREEK STATION,42.08045514,-82.48914098,
16007200102,DUTTON DRAIN STATION,42.63216426,-81.49352811,
16008700502,DODD CREEK STATION,42.78717564,-81.26732786,02GC031
16008700602,BEAVER CREEK STATION,42.70747901,-81.19759173,
16008701002,KETTLE CREEK STATION,42.69273176,-81.21758436,
16008701502,KETTLE CREEK STATION,42.81367439,-81.17260573,
16009700502,CATFISH CREEK STATION,42.77555051,-81.04292436,
16010900702,BIG OTTER CREEK STATION,42.96592451,-80.54252573,02GC017
16010900802,BIG OTTER CREEK STATION,42.71094901,-80.84016061,02GC026
16010901002,SPITTLER CREEK STATION,42.93289214,-80.66202373,
16012401102,BIG CREEK STATION,42.68582701,-80.53842473,02GC007
16012401202,BIG CREEK STATION,42.98725914,-80.44485811,02GC011
16012401402,TROUT CREEK STATION,42.77903976,-80.47588386,
16015900302,LYNN RIVER STATION,42.82338026,-80.28892861,02GC008
16015901002,KENT CREEK STATION,42.83520639,-80.36721761,
16016400102,NANTICOKE CREEK STATION,42.80999326,-80.07650586,02GC022
16018400902,NITH RIVER STATION,43.19220801,-80.38291848,02GA010
16018401002,GRAND RIVER STATION,43.27897714,-80.34338873,02GA003
16018401202,GRAND RIVER STATION,43.38660089,-80.38680186,02GA048
16018401502,GRAND RIVER STATION,43.48180126,-80.48175198,
16018401602,CANAGAGIGUE CREEK STATION,43.58474839,-80.53462448,02GA023
16018402702,GRAND RIVER STATION,43.10974339,-80.24491061,02GB001
16018402902,CONESTOGO RIVER STATION,43.52485176,-80.51439923,
16018403302,NITH RIVER STATION,43.27485814,-80.47478311,
16018403402,SPEED RIVER STATION,43.53362114,-80.25301686,02GA015
16018403502,GRAND RIVER STATION,42.90026526,-79.61984636,
16018403602,SPEED RIVER STATION,43.48425339,-80.28215011,02GA015
16018403702,GRAND RIVER STATION,43.72484376,-80.34398648,02GA016
16018405102,CANAGAGIGUE CREEK STATION,43.61624676,-80.56016286,02GA023
16018406702,GRAND RIVER STATION,43.86169926,-80.27242573,02GA014
16018407402,NITH RIVER STATION,43.48413451,-80.83528511,02GA038
16018407502,CONESTOGO RIVER STATION,43.75687376,-80.66993298,
16018407702,CONESTOGO RIVER STATION,43.65482551,-80.70206798,02GA028
16018409002,GRAND RIVER STATION,43.96723276,-80.35494861,
16018409102,MOOREFIELD CREEK STATION,43.75763276,-80.74877136,
16018409202,GRAND RIVER STATION,43.02192951,-79.89199848,02GA006
16018409302,FAIRCHILD CREEK STATION,43.14896826,-80.17155086,02GB007
16018409902,SPEED RIVER STATION,43.63993089,-80.27013211,02GA040
16018410102,SPEED RIVER STATION,43.39966714,-80.36561198,02GA047
16018410202,ERAMOSA RIVER STATION,43.54792364,-80.18239673,02GA029
16018410302,GRAND RIVER STATION,43.58811276,-80.47061973,02GA034
16018410402,IRVINE CREEK STATION,43.69544639,-80.44782198,
16018410602,WHITEMANS CREEK STATION,43.12609589,-80.38370323,02GB008
16018411702,SCHNEIDER CREEK STATION,43.39380814,-80.41611723,
16018412602,SPEED RIVER STATION,43.58793751,-80.27397973,
16018412702,BOOMER CREEK STATION,43.55904014,-80.63496511,
16018412802,BIG CREEK STATION,43.09604739,-80.03048623,
16018412902,MCKENZIE CREEK STATION,43.02365039,-79.91485911,
16018413002,LAUREL CREEK STATION,43.48237839,-80.48334686,
16018413102,MILL (GALT) CREEK STATION,43.41307976,-80.22686573,
17000800102,PICTON CREEK STATION,44.00473451,-77.12621173,
17001400102,DEMORESTVILLE CREEK STATION,44.09080601,-77.21061198,
17001600102,SAWGUIN CREEK STATION,44.10396189,-77.3946996,
17002100302,CROWE RIVER STATION,44.48156976,-77.68516723,
17002100702,OUSE RIVER STATION,44.38065864,-77.97732373,
17002100802,OTONABEE RIVER STATION,44.20638264,-78.27879686,
17002101602,CLEAR LAKE OUTLET STATION,44.48733151,-78.23461998,
17002101702,LOVESICK LAKE OUTLET STATION,44.55705339,-78.20501636,
17002101802,BUCKHORN LAKE OUTLET STATION,44.55467864,-78.34458598,
17002102102,STURGEON LAKE OUTLET STATION,44.53859614,-78.54622123,
17002102302,CAMERON LAKE OUTLET STATION,44.53515914,-78.73752486,
17002102502,GULL RIVER STATION,44.65846939,-78.79674061,02HF002
17002103802,JACKSON CREEK STATION,44.29952301,-78.32066986,02HJ001
17002104102,SCUGOG RIVER STATION,44.39551751,-78.75349723,
17002104602,COLD CREEK. STATION,44.20104264,-77.59569585,
17002105202,MISSISSAUGA RIVER STATION,44.56394014,-78.34054048,
17002105402,BALSAM LAKE OUTLET STATION,44.57366001,-78.78594998,
17002105702,TRENT RIVER STATION,44.37636176,-77.78640973,
17002106502,OTONABEE RIVER STATION,44.40074989,-78.26286723,
17002106702,TRENT RIVER STATION,44.30808676,-77.95611536,
17002106802,TRENT RIVER STATION,44.10582489,-77.5793571,
17002107002,OTONABEE RIVER STATION,44.28881226,-78.30763061,
17002107102,SALT CREEK STATION,44.19960864,-77.81872298,
17002107402,PIGEON RIVER STATION,44.34198064,-78.54169786,
17002107502,BURNT RIVER STATION,44.74053601,-78.65936523,02HF003
17002107702,BAXTER CREEK STATION,44.13534214,-78.45732523,
17002109202,NORTH RIVER STATION,44.52679451,-77.89834273,
17002109502,BEAVER CREEK STATION,44.53391526,-77.69751685,
17002111802,TRENT RIVER STATION,44.26365514,-77.59664423,
17002111902,MARIPOSA BROOK STATION,44.28545426,-78.82008948,
17002112802,MAYHEW CREEK STATION,44.10990101,-77.59453485,
17002113002,SCUGOG RIVER STATION,44.32767014,-78.73027636,
17002113302,COLD CREEK STATION,44.13468464,-77.78685773,02HK007
17002113602,NONQUON RIVER STATION,44.20022689,-78.94943136,
17002113702,BLACKSTOCK CREEK STATION,44.13187564,-78.82887773,
17002600102,MOIRA RIVER STATION,44.16534526,-77.38646773,
17002600202,MOIRA RIVER STATION,44.20605439,-77.39320635,02HL001
17002600302,MOIRA RIVER STATION,44.45845239,-77.29846773,02HL001
17002600402,MOIRA RIVER STATION,44.45751576,-77.27672248,
17002600602,MOIRA RIVER STATION,44.47889464,-77.30962048,02HL007
17002600702,CLARE RIVER STATION,44.48091226,-77.2706871,
17002600902,SKOOTAMOTTA RIVER STATION,44.54923751,-77.32830798,02HL004
17002601002,BLACK RIVER STATION,44.53957589,-77.3694281,02HL003
17002601101,MOIRA RIVER STATION,44.47835814,-77.4681561,
17002601202,DEER CREEK STATION,44.49953864,-77.4733066,
17002601302,MOIRA RIVER STATION,44.49961189,-77.61789323,02HL005
17002601902,MOIRA RIVER STATION,44.56276839,-77.60303823,
17002602302,MOIRA RIVER STATION,44.50971114,-77.39071673,02HL003
17003100102,SALMON RIVER STATION,44.19623539,-77.22939823,02HM003
17003500202,NAPANEE RIVER STATION,44.27770201,-76.92817498,
17003500402,NAPANEE RIVER STATION,44.32345001,-76.8752776,02HM007
17003700302,WILTON CREEK STATION,44.23924551,-76.8491376,02HM004
18003300302,KEMPTVILLE CREEK STATION,45.02735664,-75.64159073,02LA006
18003300802,TAY RIVER STATION,44.89281376,-76.19725198,
18003302302,TAY RIVER STATION,44.75978089,-76.51957335,
18003302602,RIDEAU RIVER STATION,44.88736514,-75.92729773,
18003302902,RIDEAU RIVER STATION,45.16190239,-75.63389485,
18003303102,RIDEAU RIVER STATION,45.37069889,-75.69654048,02LA004
18003303402,RIDEAU RIVER STATION,45.43743002,-75.67854073,02LA004
18003303502,RIDEAU RIVER STATION,44.95113552,-75.81947835,
18003303602,JOCK RIVER STATION,45.24920927,-75.7908066,
18003303702,RIDEAU RIVER STATION,45.24858439,-75.70465935,
18207000702,SCOTCH RIVER WEST STATION,45.37543089,-74.94766473,
18207002002,SOUTH NATION RIVER STATION,45.55919927,-75.06332235,02LB005
18207006002,SCOTCH RIVER EAST STATION,45.37399664,-74.90711423,
18207010002,SOUTH NATION RIVER STATION,45.31853002,-75.0925301,02LB005
18207014502,CASTOR RIVER STATION,45.26242627,-75.3436171,02LB006
18207015002,SOUTH NATIOM RIVER STATION,44.77975064,-75.58635535,
18207016002,SOUTH NATION RIVER STATION,45.10188314,-75.22882773,
18337012102,CARP RIVER STATION,45.41750902,-76.1984511,
18343003002,MISSISSIPPI RIVER STATION,45.42325002,-76.25246835,
18343003402,MISSISSIPPI RIVER STATION,45.33561552,-76.28698885,
18343006102,MISSISSIPPI RIVER STATION,45.18142302,-76.1253381,02KF006
18343017502,MISSISSIPPI RIVER STATION,44.97242914,-76.53897848,02KF019
18343023002,MISSISSIPPI RIVER STATION,44.85020114,-77.16923323,
18343052002,CLYDE RIVER STATION,45.01245302,-76.36411773,
18343061002,FALL RIVER STATION,44.94763102,-76.41068235,
18349002002,MADAWASKA RIVER STATION,45.43451789,-76.34968485,
18369001002,BONNECHERE RIVER STATION,45.51443139,-76.5567031,02KC009
18607002002,MATTAWA RIVER STATION,46.31859502,-78.70700473,
18607006002,KAIBUSKONG RIVER STATION,46.26982664,-79.14253073,
18607008002,AMABLE DU FOND RIVER STATION,46.28670852,-78.90428511,
19006400102,MATTAGAMI RIVER STATION,48.49387352,-81.36039561,
19006400402,PORCUPINE RIVER STATION,48.54983827,-81.05480486,
19006401420,MATTAGAMI RIVER STATION,48.47479377,-81.35320186,