,Station_ID,P_Start,P_End,Num_Days
0,217721,2022-01-05,2022-01-05,1
1,218567,2022-01-07,2022-01-07,1
2,218860,2021-12-21,2021-12-21,1
3,218897,2021-01-20,2021-01-20,1
4,218897,2021-03-15,2021-03-15,1
5,218897,2021-12-07,2021-12-07,1
6,218897,2022-02-23,2022-02-23,1
7,218897,2022-03-16,2022-03-16,1
8,218897,2023-03-01,2023-03-01,1
9,219127,2022-01-07,2022-01-07,1
10,219212,2021-12-21,2021-12-21,1
11,219409,2021-12-22,2021-12-22,1
12,219446,2022-05-19,2022-05-19,1
13,220338,2021-01-20,2021-01-20,1
14,220338,2021-03-15,2021-03-15,1
15,220338,2021-12-07,2021-12-07,1
16,220338,2022-02-23,2022-02-23,1
17,220338,2022-03-16,2022-03-16,1
18,220543,2021-01-21,2021-01-21,1
19,220543,2021-03-15,2021-03-15,1
20,220543,2021-06-27,2021-06-27,1
21,220543,2021-12-10,2021-12-10,1
22,220543,2022-02-23,2022-02-23,1
23,220543,2022-03-16,2022-03-16,1
24,221475,2021-10-24,2021-10-24,1
25,221475,2021-11-07,2021-11-07,1
26,221475,2021-11-21,2021-11-21,1
27,221475,2021-12-12,2021-12-12,1
28,221475,2022-02-06,2022-02-06,1
29,221475,2022-02-28,2022-02-28,1
30,221475,2022-03-28,2022-03-28,1
31,221475,2022-04-10,2022-04-10,1
32,221475,2022-05-08,2022-05-08,1
33,221475,2022-05-23,2022-05-23,1
34,221475,2022-06-06,2022-06-06,1
35,221475,2022-09-11,2022-09-11,1
36,221475,2022-09-25,2022-09-25,1
37,221475,2022-10-23,2022-10-23,1
38,221475,2022-11-06,2022-11-06,1
39,221475,2022-11-23,2022-11-23,1
40,221475,2022-12-11,2022-12-11,1
41,221475,2023-01-08,2023-01-08,1
42,221475,2023-01-22,2023-01-22,1
43,221475,2023-02-12,2023-02-12,1
44,221475,2023-03-26,2023-03-26,1
45,221475,2023-04-09,2023-04-09,1
46,221475,2023-04-23,2023-04-23,1
47,221475,2023-05-07,2023-05-07,1
48,221475,2023-05-24,2023-05-24,1
49,221888,2021-12-22,2021-12-22,1
50,222010,2022-01-07,2022-01-07,1
51,222127,2021-01-21,2021-01-21,1
52,222127,2021-03-16,2021-03-16,1
53,222127,2021-12-10,2021-12-10,1
54,222127,2022-02-23,2022-02-23,1
55,222127,2022-03-16,2022-03-16,1
56,222127,2023-02-28,2023-02-28,1
57,222758,2022-05-19,2022-05-19,1
58,222758,2022-06-08,2022-06-08,1
59,223029,2022-01-05,2022-01-05,1
60,224351,2022-05-19,2022-05-19,1
61,233985,2021-07-20,2021-07-20,1
62,233986,2021-07-12,2021-07-12,1
63,233987,2021-07-29,2021-07-29,1
64,233988,2021-07-12,2021-07-12,1
65,266148,2015-08-18,2015-08-18,1
66,266148,2017-07-31,2017-07-31,1
67,266149,2017-08-01,2017-08-01,1
68,266150,2017-07-26,2017-07-26,1
69,266151,2017-08-01,2017-08-01,1
70,266152,2015-09-01,2015-09-01,1
71,266152,2017-08-14,2017-08-14,1
72,266155,2015-09-08,2015-09-08,1
73,266155,2017-08-17,2017-08-17,1
74,266156,2017-08-02,2017-08-02,1
75,266157,2015-09-01,2015-09-01,1
76,266157,2017-08-14,2017-08-14,1
77,266159,2015-08-18,2015-08-18,1
78,266159,2017-07-31,2017-07-31,1
79,266160,2015-09-03,2015-09-03,1
80,266160,2017-08-15,2017-08-15,1
81,266161,2015-09-03,2015-09-03,1
82,266161,2017-08-15,2017-08-15,1
83,266162,2015-09-01,2015-09-01,1
84,266166,2015-09-02,2015-09-02,1
85,266166,2017-08-15,2017-08-15,1
86,266167,2015-08-25,2015-08-25,1
87,266169,2015-08-31,2015-08-31,1
88,266170,2015-08-27,2015-08-27,1
89,266171,2015-08-19,2015-08-19,1
90,266172,2017-07-26,2017-07-26,1
91,266173,2015-08-27,2015-08-27,1
92,266173,2017-08-31,2017-08-31,1
93,266174,2017-07-27,2017-07-27,1
94,266176,2017-08-02,2017-08-02,1
95,266177,2017-07-26,2017-07-26,1
96,266178,2015-08-19,2015-08-19,1
97,266178,2017-07-31,2017-07-31,1
98,266180,2017-07-27,2017-07-27,1
99,266182,2015-08-19,2015-08-19,1
100,266183,2015-09-10,2015-09-10,1
101,266183,2017-08-10,2017-08-10,1
102,266184,2015-08-31,2015-08-31,1
103,266184,2017-08-09,2017-08-09,1
104,266185,2015-08-19,2015-08-19,1
105,266185,2017-07-31,2017-07-31,1
106,266187,2015-08-31,2015-08-31,1
107,266187,2017-08-09,2017-08-09,1
108,266190,2015-09-10,2015-09-10,1
109,266190,2017-08-10,2017-08-10,1
110,266191,2015-08-25,2015-08-25,1
111,266193,2015-09-08,2015-09-08,1
112,266193,2017-08-10,2017-08-10,1
113,266194,2015-08-31,2015-08-31,1
114,266194,2017-08-09,2017-08-09,1
115,266195,2015-08-31,2015-08-31,1
116,266197,2015-09-03,2015-09-03,1
117,266197,2017-08-14,2017-08-14,1
118,266198,2015-09-02,2015-09-02,1
119,266198,2017-08-15,2017-08-15,1
120,266200,2015-09-08,2015-09-08,1
121,266200,2017-08-10,2017-08-10,1
122,266202,2017-07-26,2017-07-26,1
123,266203,2017-08-01,2017-08-01,1
124,266204,2015-09-08,2015-09-08,1
125,266204,2017-08-17,2017-08-17,1
126,266205,2015-08-31,2015-08-31,1
127,266205,2017-08-09,2017-08-09,1
128,266206,2015-09-02,2015-09-02,1
129,266207,2015-09-02,2015-09-02,1
130,266209,2017-07-27,2017-07-27,1
131,266210,2017-08-01,2017-08-01,1
132,266211,2017-07-27,2017-07-27,1
133,266215,2015-09-03,2015-09-03,1
134,266215,2017-08-14,2017-08-14,1
135,266217,2015-09-01,2015-09-01,1
136,438105,2021-12-07,2021-12-07,1
137,438105,2022-02-23,2022-02-23,1
138,438105,2022-03-16,2022-03-16,1
139,438105,2023-03-01,2023-03-01,1
140,438106,2021-06-27,2021-06-27,1
141,438106,2021-12-10,2021-12-10,1
142,438106,2022-02-23,2022-02-23,1
143,438106,2022-03-16,2022-03-16,1
144,446292,2021-12-07,2021-12-07,1
145,446292,2022-02-23,2022-02-23,1
146,446292,2022-03-16,2022-03-16,1
147,446300,2021-12-10,2021-12-10,1
148,446300,2022-02-23,2022-02-23,1
149,446300,2022-03-16,2022-03-16,1
150,446300,2023-02-28,2023-02-28,1
151,448988,2022-01-07,2022-01-07,1
152,451008,2022-01-07,2022-01-07,1
153,452824,2022-01-07,2022-01-07,1
